#Position (bp)	mapping quality
1.291741025E8	78.08380494723495
1.295334185E8	129.53007080129305
1.298927345E8	145.60752637279964
1.302520505E8	112.33688324435224
1.306113665E8	116.62972612965764
1.309706825E8	103.33945376025255
1.313299985E8	85.69361386828253
1.316893145E8	72.31613924363309
1.320486305E8	92.06122930378251
1.324079465E8	20.120933941189683
1.327672625E8	137.76894553567783
1.331265785E8	76.8823280212356
1.334858945E8	108.11449437520247
1.337730805E8	2.104652126928009
1.339527385E8	21.50635345517199
1.342045265E8	14.770935716282382
1.345638425E8	49.626184982528876
1.349231585E8	3.193305480549592
1.352824745E8	9.515498969467581
1.356417905E8	12.192392163575136
1.360011065E8	3.5390767121707967
1.363604225E8	22.027124147077327
1.367197385E8	18.41230934397306
1.370790545E8	44.233528935604014
1.374033365E8	13.019215496325776
1.375577225E8	254.40801041521192
1.375927565E8	73.7451384181842
1.376371405E8	83.22843953135602
1.37699935E8	28.581462615254004
1.37786751E8	75.73212911712875
1.37868371E8	7.052298409006547
1.37942101E8	24.36617323464693
1.37980213E8	54.88547543976104
1.38019627E8	60.96061784940879
1.38089538E8	30.459030047276073
1.38156123E8	42.3881843601673
1.382206275E8	79.24888620620276
1.38280805E8	2.4551287213766075
1.38323179E8	255.0
1.383484915E8	255.0
1.38384028E8	102.98694633294424
1.384312265E8	35.29110680149605
1.384772795E8	79.95847226432252
1.38522045E8	81.55423508248172
1.385663025E8	0.692915361165213
1.38610046E8	38.60705379408621
1.38651258E8	23.102498635064393
1.386833775E8	33.62644169953121
1.387019305E8	4.827020202020202
1.38726341E8	0.0
1.387630385E8	112.2022569574535
1.3879854E8	135.92277162857417
1.3883298E8	18.538319958771993
1.388668195E8	3.0
1.389001375E8	44.177328245023695
1.389325255E8	10.984027827829484
1.38963047E8	5.772527149985324
1.38991991E8	108.1912091876616
1.390198715E8	21.798353491208456
1.39044446E8	1.7014633125569856
1.390581695E8	0.0
1.39074104E8	100.78067181605891
1.391000815E8	242.55727462064863
1.39125904E8	41.14774967299792
1.391516555E8	90.44157392686805
1.391772845E8	7.743012418459374
1.39202833E8	64.55528980307741
1.39227853E8	0.0
1.392522945E8	152.05591325431035
1.392761035E8	0.0
1.392991635E8	3.0
1.393219065E8	128.29977957384276
1.39344169E8	134.2436281969286
1.393656665E8	0.0
1.39386585E8	130.4268152974109
1.394057875E8	164.92537313432837
1.394157655E8	0.0
1.39426072E8	187.09816066066065
1.394433E8	1.0
1.394591395E8	3.0
1.39474609E8	0.0
1.394898515E8	0.8752204585537919
1.39504877E8	14.105390121406256
1.39519712E8	156.92489795918368
1.39534307E8	0.0
1.39548658E8	19.69250687813562
1.395628065E8	172.4206381260097
1.395768695E8	86.0
1.395908865E8	0.0
1.396048595E8	0.1001410437235543
1.39618797E8	255.0
1.396327175E8	208.78076834598573
1.39646447E8	3.0
1.39659998E8	15.654333996415417
1.39673523E8	0.0
1.39687001E8	1.0
1.39700456E8	255.0
1.397138915E8	0.0
1.397272965E8	0.0
1.39740652E8	255.0
1.397539385E8	0.0
1.397671835E8	63.86243386243386
1.397738625E8	0.0
1.39780441E8	5.036408263448558
1.397935115E8	2.0
1.39806605E8	3.0
1.398195725E8	233.67057247031693
1.398324245E8	0.0
1.39845262E8	255.0
1.398580325E8	2.991788321167883
1.3987073E8	132.6691176470588
1.398833975E8	2.0
1.398960405E8	138.62500937476563
1.399086725E8	0.0
1.399212565E8	22.17391304347826
1.39933781E8	163.70809073901626
1.39946267E8	255.0
1.399587085E8	59.53846153846154
1.399711325E8	0.0
1.39983544E8	255.0
1.399959275E8	165.97754114230398
1.400082885E8	127.0644336486832
1.40020559E8	0.0
1.400327265E8	0.0
1.400448715E8	0.0
1.4005699E8	0.0
1.400690545E8	0.0
1.40081085E8	255.0
1.400930995E8	152.56905409489272
1.40105101E8	2.7777777777777777
1.40117094E8	186.27272727272728
1.401281635E8	0.0
1.40134155E8	0.0
1.401410485E8	1.106846966955528
1.40153003E8	104.43819628647215
1.40164882E8	0.0
1.40176667E8	174.6401114206128
1.4018842E8	214.146793776157
1.40200076E8	0.4612015018773467
1.402116215E8	0.0
1.402231315E8	252.77486910994764
1.402345955E8	3.0
1.402459205E8	235.80063626723225
1.402571045E8	0.0
1.402682415E8	0.0
1.4027885E8	46.26918960021057
1.40288828E8	255.0
1.402984445E8	0.0
1.40307799E8	0.0
1.403166425E8	37.19951040391677
1.40324819E8	0.0
1.403326835E8	1.0
1.403402015E8	0.0
1.4034742E8	0.0
1.40354483E8	1.0
1.403614525E8	17.531207914637935
1.403683705E8	245.02689780016527
1.403752505E8	2.685688593760808
1.403821105E8	0.0
1.40388953E8	235.14969072164948
1.403957145E8	0.0
1.404023365E8	2.150252525252525
1.404088075E8	0.0
1.404151525E8	2.8563480020232674
1.40421418E8	1.0
1.40427633E8	70.32324481629684
1.404337675E8	188.2501765121205
1.404398365E8	0.0
1.40445888E8	255.0
1.404519085E8	0.0
1.404579005E8	255.0
1.404638765E8	218.9241055294543
1.404698365E8	225.84665813879118
1.4047577E8	254.66373626373627
1.40481673E8	163.53425180602537
1.404875345E8	0.0
1.404915035E8	0.0
1.404943895E8	0.0
1.404990715E8	0.0
1.405047025E8	84.90786491014816
1.40510262E8	0.0
1.405157995E8	215.64879931389365
1.40521292E8	225.75753931544867
1.40526756E8	164.05197698294361
1.40532181E8	0.0
1.40537566E8	243.85885665917897
1.405429375E8	255.0
1.405482795E8	0.0
1.40553603E8	255.0
1.405589225E8	3.0
1.40564221E8	0.0
1.405694775E8	255.0
1.40574688E8	0.0
1.405798735E8	255.0
1.405850135E8	255.0
1.40590093E8	0.0
1.405951535E8	0.0
1.40600212E8	0.0
1.406052535E8	0.0
1.406102665E8	49.36605316973415
1.406152645E8	254.09574468085106
1.406202595E8	3.0
1.406252495E8	0.0
1.40630226E8	0.0
1.40635179E8	0.0
1.40640115E8	0.0
1.4064504E8	0.0
1.4064995E8	232.20671671691397
1.406548455E8	1.0
1.40659729E8	77.09858222415014
1.40664601E8	1.0
1.406694435E8	0.0
1.40674261E8	0.0
1.40679061E8	238.42288444040037
1.40683806E8	0.0
1.40688509E8	0.0
1.406931635E8	0.0
1.40697758E8	0.0
1.40702335E8	0.0
1.40706898E8	0.0
1.40711432E8	255.0
1.40715925E8	233.06961722488037
1.40720393E8	27.77454056476916
1.407248515E8	3.0
1.407292955E8	0.0
1.407337135E8	0.0
1.40738111E8	0.0
1.40742499E8	0.0
1.407468785E8	0.0
1.40751256E8	0.0
1.407556295E8	0.0
1.40759995E8	162.4421593830334
1.407643435E8	0.0
1.407686665E8	159.32380335304123
1.407729765E8	0.21414808698045693
1.40777284E8	0.0
1.40781584E8	227.16522765325203
1.40785876E8	7.291794169362438
1.40790157E8	0.0
1.407944295E8	86.11704634721131
1.407986935E8	0.0
1.40802937E8	3.0
1.40807165E8	175.66103739445114
1.408113885E8	0.0
1.408156105E8	114.50628072091753
1.408198225E8	0.5830770582549863
1.40824022E8	154.1372812920592
1.408282145E8	2.6877974490767182
1.408324E8	1.0
1.408365825E8	0.0
1.40840755E8	0.0
1.408449115E8	255.0
1.40849054E8	0.0
1.40851497E8	0.0
1.408535395E8	0.0
1.40857247E8	0.0
