#Insert size (bp)	insert size
741.0	9351.0
742.0	8998.0
743.0	9472.0
744.0	9590.0
745.0	9696.0
746.0	9513.0
747.0	8856.0
748.0	9484.0
749.0	9299.0
750.0	9079.0
751.0	9080.0
752.0	8664.0
753.0	9146.0
754.0	8976.0
755.0	9037.0
756.0	8501.0
757.0	8340.0
758.0	8331.0
759.0	8523.0
760.0	8244.0
761.0	8469.0
762.0	8033.0
763.0	8200.0
764.0	7966.0
765.0	8097.0
766.0	7801.0
767.0	8012.0
768.0	7834.0
