Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	(150, 56821565.0)																									
HSF4_4H_1_1	(25, 7.0)	(30, 11.0)	(35, 774.0)	(40, 3889.0)	(45, 3920.0)	(50, 3968.0)	(55, 3683.0)	(60, 3899.0)	(65, 4181.0)	(70, 5025.0)	(75, 5858.0)	(80, 7358.0)	(85, 9193.0)	(90, 11234.0)	(95, 14525.0)	(100, 19016.0)	(105, 23419.0)	(110, 29553.0)	(115, 37940.0)	(120, 49300.0)	(125, 66428.0)	(130, 94839.0)	(135, 166978.0)	(140, 51995375.0)		
HSF4_4H_1_1.sub	(25, 1.0)	(30, 1086.0)	(35, 1397.0)	(40, 2462.0)	(45, 3162.0)	(50, 3324.0)	(55, 3403.0)	(60, 3816.0)	(65, 3562.0)	(70, 3750.0)	(75, 4349.0)	(80, 4924.0)	(85, 6080.0)	(90, 7571.0)	(95, 9472.0)	(100, 11843.0)	(105, 15344.0)	(110, 19625.0)	(115, 24113.0)	(120, 31028.0)	(125, 39777.0)	(130, 52396.0)	(135, 71550.0)	(140, 114673.0)	(145, 160170.0)	(150, 49399810.0)
HSF4_4H_1_2	(25, 11.0)	(30, 12.0)	(35, 781.0)	(40, 3888.0)	(45, 3921.0)	(50, 3983.0)	(55, 3683.0)	(60, 3917.0)	(65, 4200.0)	(70, 5058.0)	(75, 5880.0)	(80, 7438.0)	(85, 9316.0)	(90, 11441.0)	(95, 14832.0)	(100, 19408.0)	(105, 24162.0)	(110, 30765.0)	(115, 40146.0)	(120, 53577.0)	(125, 75219.0)	(130, 115967.0)	(135, 210692.0)	(140, 51912076.0)		
HSF4_4H_1_2.sub	(25, 6.0)	(30, 1093.0)	(35, 1394.0)	(40, 2470.0)	(45, 3167.0)	(50, 3327.0)	(55, 3411.0)	(60, 3825.0)	(65, 3580.0)	(70, 3766.0)	(75, 4372.0)	(80, 4965.0)	(85, 6091.0)	(90, 7696.0)	(95, 9639.0)	(100, 12089.0)	(105, 15677.0)	(110, 20180.0)	(115, 25068.0)	(120, 32587.0)	(125, 42645.0)	(130, 57902.0)	(135, 83458.0)	(140, 145368.0)	(145, 165819.0)	(150, 49339093.0)
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	(150, 52746354.0)																									
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	(150, 52746354.0)																									
HSF4_4H_2_1	(25, 11.0)	(30, 6.0)	(35, 1088.0)	(40, 5342.0)	(45, 5692.0)	(50, 5840.0)	(55, 5816.0)	(60, 6276.0)	(65, 6739.0)	(70, 8073.0)	(75, 9826.0)	(80, 12444.0)	(85, 16043.0)	(90, 20097.0)	(95, 26170.0)	(100, 33121.0)	(105, 41384.0)	(110, 51722.0)	(115, 63995.0)	(120, 81170.0)	(125, 104140.0)	(130, 140105.0)	(135, 219993.0)	(140, 50601544.0)		
HSF4_4H_2_1.sub	(25, 4.0)	(30, 1175.0)	(35, 1673.0)	(40, 3621.0)	(45, 4652.0)	(50, 4996.0)	(55, 5290.0)	(60, 5609.0)	(65, 5856.0)	(70, 6341.0)	(75, 7201.0)	(80, 8274.0)	(85, 10611.0)	(90, 13422.0)	(95, 17124.0)	(100, 21648.0)	(105, 27870.0)	(110, 34967.0)	(115, 43685.0)	(120, 53938.0)	(125, 68001.0)	(130, 85924.0)	(135, 112283.0)	(140, 162333.0)	(145, 216811.0)	(150, 49076021.0)
HSF4_4H_2_2	(25, 31513.0)	(30, 17179.0)	(35, 10066.0)	(40, 13713.0)	(45, 20126.0)	(50, 22989.0)	(55, 21996.0)	(60, 15941.0)	(65, 12448.0)	(70, 16151.0)	(75, 15384.0)	(80, 16342.0)	(85, 19956.0)	(90, 23844.0)	(95, 31341.0)	(100, 36390.0)	(105, 49052.0)	(110, 57304.0)	(115, 70207.0)	(120, 90657.0)	(125, 126000.0)	(130, 203533.0)	(135, 356545.0)	(140, 50187960.0)		
HSF4_4H_2_2.sub	(25, 13298.0)	(30, 13205.0)	(35, 37374.0)	(40, 11849.0)	(45, 13438.0)	(50, 17021.0)	(55, 27940.0)	(60, 13129.0)	(65, 18023.0)	(70, 13580.0)	(75, 18838.0)	(80, 13086.0)	(85, 13402.0)	(90, 17671.0)	(95, 21110.0)	(100, 25834.0)	(105, 32104.0)	(110, 38267.0)	(115, 51594.0)	(120, 62092.0)	(125, 75988.0)	(130, 95726.0)	(135, 143150.0)	(140, 246851.0)	(145, 293940.0)	(150, 48670820.0)
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	(150, 51791807.0)																									
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	(150, 51791807.0)																									
HSF4_4H_3_1	(25, 7.0)	(30, 11.0)	(35, 937.0)	(40, 4875.0)	(45, 4788.0)	(50, 4934.0)	(55, 4772.0)	(60, 4968.0)	(65, 5011.0)	(70, 5723.0)	(75, 6603.0)	(80, 7790.0)	(85, 9569.0)	(90, 11921.0)	(95, 14795.0)	(100, 17847.0)	(105, 22321.0)	(110, 28025.0)	(115, 35575.0)	(120, 44950.0)	(125, 59935.0)	(130, 86016.0)	(135, 154983.0)	(140, 50867046.0)		
HSF4_4H_3_1.sub	(25, 2.0)	(30, 1207.0)	(35, 1676.0)	(40, 3211.0)	(45, 4126.0)	(50, 4485.0)	(55, 4392.0)	(60, 4664.0)	(65, 4611.0)	(70, 4944.0)	(75, 5299.0)	(80, 5651.0)	(85, 6913.0)	(90, 8254.0)	(95, 10145.0)	(100, 12797.0)	(105, 15404.0)	(110, 18994.0)	(115, 23450.0)	(120, 29651.0)	(125, 38052.0)	(130, 48581.0)	(135, 66258.0)	(140, 107221.0)	(145, 152799.0)	(150, 49416537.0)
HSF4_4H_3_2	(25, 9289.0)	(30, 13495.0)	(35, 6706.0)	(40, 12545.0)	(45, 9549.0)	(50, 13014.0)	(55, 8193.0)	(60, 6250.0)	(65, 8190.0)	(70, 8134.0)	(75, 9886.0)	(80, 10219.0)	(85, 12911.0)	(90, 14680.0)	(95, 19270.0)	(100, 21730.0)	(105, 26420.0)	(110, 40478.0)	(115, 43451.0)	(120, 53560.0)	(125, 70960.0)	(130, 244389.0)	(135, 252462.0)	(140, 50487621.0)		
HSF4_4H_3_2.sub	(25, 5536.0)	(30, 6601.0)	(35, 11028.0)	(40, 14644.0)	(45, 14966.0)	(50, 10657.0)	(55, 8037.0)	(60, 10064.0)	(65, 8022.0)	(70, 7522.0)	(75, 7830.0)	(80, 7939.0)	(85, 10127.0)	(90, 10156.0)	(95, 14664.0)	(100, 15708.0)	(105, 18392.0)	(110, 22818.0)	(115, 32260.0)	(120, 38039.0)	(125, 48660.0)	(130, 56770.0)	(135, 85055.0)	(140, 280068.0)	(145, 197744.0)	(150, 49056017.0)
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	(150, 51657803.0)																									
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	(150, 51657803.0)																									
