Geneid	HSF4_0H_1	HSF4_0H_2	HSF4_0H_3	HSF4_2H_1	HSF4_2H_2	HSF4_2H_3	HSF4_4H_1	HSF4_4H_2	HSF4_4H_3	HSF4_6H_1	HSF4_6H_2	HSF4_6H_3
FBgn0040732	2767	2149	4541	2063	1328	3065	2953	2724	1015	2499	2203	2977
FBgn0015247	26213	23491	18982	18032	17298	15267	12972	15178	15054	12948	13603	16429
FBgn0034510	46	29	40	8	24	82	11	44	42	4	0	16
FBgn0010488	85341	71981	57495	77534	60831	58682	62133	51104	58260	50449	56522	64343
FBgn0033792	28	20	7	5	10	39	15	12	20	6	10	22
FBti0060938	0	1	4	2	3	2	0	0	4	2	0	0
FBgn0014870	23795	20048	16836	21375	18141	13582	15687	10677	12913	12775	13299	15347
FBgn0034479	868	932	873	1385	997	4403	1294	2653	2341	1210	1639	1349
FBtr0472704_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0309661_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0050285	471	416	419	519	483	359	448	389	384	294	298	336
FBti0062403	4	0	0	3	1	5	0	0	0	0	0	3
FBgn0033391	15	13	6	25	21	1	8	8	6	6	3	5
FBti0061932	0	0	0	0	0	0	0	0	0	0	0	0
FBti0060309	202	66	75	183	215	110	129	156	89	189	136	170
FBgn0026136	338	541	162	50	179	3172	20	1646	1018	24	88	98
FBgn0063373	6	4	4	1	8	6	10	3	3	0	4	11
FBgn0050172	76	46	38	30	36	22	43	19	22	52	21	36
FBgn0034060	16212	11379	9279	12175	10245	7294	7906	6090	7354	6917	7939	9175
FBgn0085426	652	414	253	605	493	410	560	295	336	413	392	470
FBti0215104	56	42	21	40	21	23	13	5	0	13	21	13
FBgn0034908	5642	4897	4364	5198	4848	4248	4084	3508	4353	4563	4602	5062
FBgn0035021	4655	4251	3556	4099	3510	3160	3097	2562	3237	3099	3361	3641
FBgn0058191	14304	11216	11225	14407	14990	10828	12937	11420	12518	12986	13749	14499
FBgn0033222	67	42	52	44	19	24	75	58	22	69	51	25
FBti0061928	0	0	0	4	3	4	0	3	0	3	2	0
FBgn0050418	5245	3457	2564	4171	3750	2086	3943	3222	3378	3844	3983	4600
FBgn0050461	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0050476	2854	2151	2235	1861	2160	1801	1802	1730	1821	1816	1757	1854
FBti0062281	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259210	77	40	41	47	72	50	40	22	20	33	48	35
FBti0019939	1	0	4	0	0	0	0	0	0	0	0	0
FBti0060280	94	44	58	73	38	18	20	16	20	23	18	32
FBgn0034364	0	0	2	0	0	0	1	2	0	0	0	1
