Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	(1.0, 14.348817470722514)	(2.0, 9.33305314618095)	(3.0, 6.605959780551871)	(4.0, 4.6919385860791225)	(5.0, 3.7269496989793316)	(6.0, 3.0298375981490233)	(7.0, 2.330104359231424)	(8.0, 1.9893705390307965)	(9.0, 1.7410749939151315)	('>10', 19.00610836863514)	('>50', 6.251258768841572)	('>100', 13.007634235286666)	('>500', 3.641906649786089)	('>1k', 5.2740620909825005)	('>5k', 1.5506286408819352)	('>10k+', 3.471295072745891)
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	(1.0, 14.329566084439413)	(2.0, 9.35219506708659)	(3.0, 6.465546477200937)	(4.0, 4.888259437298743)	(5.0, 3.7149075757337022)	(6.0, 2.9862596290500707)	(7.0, 2.4529906014731964)	(8.0, 2.024373113742672)	(9.0, 1.7025191975675171)	('>10', 19.063848405965256)	('>50', 6.136731036094211)	('>100', 12.940625089347444)	('>500', 3.649001464503914)	('>1k', 5.242893870777954)	('>5k', 1.4844778829139398)	('>10k+', 3.565805066804864)
HSF4_6H_2_1	(1.0, 13.829810802397304)	(2.0, 8.976331174330452)	(3.0, 6.6866943833041494)	(4.0, 4.968629607192891)	(5.0, 4.092132929160205)	(6.0, 3.203862171391003)	(7.0, 2.4775505669149793)	(8.0, 2.078106434179571)	(9.0, 1.8571614288761256)	('>10', 20.268168970036402)	('>50', 6.539441977216636)	('>100', 13.543768924292626)	('>500', 3.712209781185734)	('>1k', 4.643540335511037)	('>5k', 1.1113747589863558)	('>10k+', 2.0112157550244114)
HSF4_6H_2_2	(1.0, 13.89159449457418)	(2.0, 9.064070179339813)	(3.0, 6.737296547387822)	(4.0, 5.069605086441918)	(5.0, 4.006487092821138)	(6.0, 3.1564712135453816)	(7.0, 2.651140498490714)	(8.0, 2.2113765136138426)	(9.0, 1.8629403748578737)	('>10', 20.121402078591835)	('>50', 6.395211371031041)	('>100', 13.362275820392936)	('>500', 3.679194953916317)	('>1k', 4.597259978797967)	('>5k', 1.1313390450816643)	('>10k+', 2.06233475111537)
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	(1.0, 15.161991419508306)	(2.0, 9.38449080873469)	(3.0, 6.6691176034222295)	(4.0, 4.972024740037793)	(5.0, 4.0364212727474635)	(6.0, 3.197239351225547)	(7.0, 2.402788313523673)	(8.0, 2.007371995388535)	(9.0, 1.8541576810450846)	('>10', 19.814898680608614)	('>50', 6.296353960639907)	('>100', 13.086765964353031)	('>500', 3.535776343690827)	('>1k', 4.534079786053719)	('>5k', 1.0723063196597584)	('>10k+', 1.9742157593608867)
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	(1.0, 15.178945382997103)	(2.0, 9.432946680970268)	(3.0, 6.834349246926473)	(4.0, 5.082052417542844)	(5.0, 3.923046070789927)	(6.0, 3.0793042794438406)	(7.0, 2.614601439283085)	(8.0, 2.206182278144716)	(9.0, 1.8321463410030832)	('>10', 19.565059716728506)	('>50', 6.239171332277241)	('>100', 12.88796857064725)	('>500', 3.5026719845688494)	('>1k', 4.47859190226826)	('>5k', 1.0932726620056508)	('>10k+', 2.0496896944030416)
HSF4_6H_3_1	(1.0, 13.915946252679879)	(2.0, 9.492615934410606)	(3.0, 7.116789263351777)	(4.0, 5.284861286551777)	(5.0, 4.104728905752972)	(6.0, 3.374410041813448)	(7.0, 2.812645475179639)	(8.0, 2.3073067060207157)	(9.0, 1.9876696325800782)	('>10', 21.12543482555193)	('>50', 6.414972619625744)	('>100', 12.76334938541168)	('>500', 3.3070474805455414)	('>1k', 3.847963196263968)	('>5k', 0.838016472218972)	('>10k+', 1.3062425220412197)
HSF4_6H_3_2	(1.0, 13.747797938851992)	(2.0, 9.531829301416327)	(3.0, 7.154754667636346)	(4.0, 5.351753057313123)	(5.0, 4.175981569961499)	(6.0, 3.507310273138909)	(7.0, 2.7111006060226317)	(8.0, 2.3293967033531753)	(9.0, 1.9549419945688047)	('>10', 20.980929899902907)	('>50', 6.454431723553529)	('>100', 12.771892858830006)	('>500', 3.2850808699817686)	('>1k', 3.8644677346157104)	('>5k', 0.8026683615248199)	('>10k+', 1.3756624393285222)
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	(1.0, 15.278405834561553)	(2.0, 9.851464203655835)	(3.0, 7.214839877011611)	(4.0, 5.228402308096385)	(5.0, 4.105500585421336)	(6.0, 3.326035739505378)	(7.0, 2.717539250935079)	(8.0, 2.2525257441022712)	(9.0, 1.9042909074832526)	('>10', 20.62932381095329)	('>50', 6.201149328769916)	('>100', 12.303288750924203)	('>500', 3.1465388957959655)	('>1k', 3.7439258342146884)	('>5k', 0.8235187460629961)	('>10k+', 1.273250182506027)
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	(1.0, 15.222162918313334)	(2.0, 9.87676314774025)	(3.0, 7.266121807535525)	(4.0, 5.318822514653446)	(5.0, 4.096636045289046)	(6.0, 3.453066554429408)	(7.0, 2.639938117526485)	(8.0, 2.2828003808919815)	(9.0, 1.874129032067782)	('>10', 20.419715596804)	('>50', 6.2269712700136575)	('>100', 12.27653910453567)	('>500', 3.1353545552430098)	('>1k', 3.749559931508732)	('>5k', 0.8095014667563867)	('>10k+', 1.3519175566911992)
